City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Sao Jose da Coroa Grande,29,BR,1565571131,69.17,2.86,-8.9,-35.15,95
Sisimiut,21,GL,1565570960,48.41,10.29,66.94,-53.67,64
Cape Town,75,ZA,1565571378,55,9.17,-33.93,18.42,87
Hamilton,20,CA,1565571271,78.8,8.05,43.26,-79.87,68
Cidreira,17,BR,1565570899,59.57,14.94,-30.17,-50.22,83
Hilo,1,US,1565571283,84.2,12.75,19.71,-155.08,62
Iquique,75,CL,1565571348,57.2,9.17,-20.22,-70.14,76
Mar del Plata,13,AR,1565571222,33.17,13.44,-46.43,-67.52,53
Hithadhoo,100,MV,1565571220,83.57,13.73,-0.6,73.08,72
Fortuna,20,ES,1565571287,81,1.12,38.18,-1.13,83
Corinto,40,CO,1565571379,77,6.93,3.17,-76.26,65
Ushuaia,75,AR,1565571041,32,20.8,-54.81,-68.31,93
Hermanus,22,ZA,1565571379,51.01,3,-34.42,19.24,97
Tivaouane,20,SN,1565571379,80.6,10.29,14.95,-16.81,83
Cilibia,0,RO,1565571380,71.15,3.42,45.06,27.07,48
Malartic,75,CA,1565571380,64.4,4.7,48.14,-78.13,100
Kupang,90,ID,1565571380,82.4,11.41,-10.16,123.6,37
Dunedin,64,NZ,1565571190,51.01,15.01,-45.87,170.5,63
Kainantu,98,PG,1565571380,59.09,1.92,-6.29,145.87,95
Avarua,35,CK,1565571035,77,6.93,-21.21,-159.78,73
Punta Arenas,0,CL,1565571221,30.2,8.05,-53.16,-70.91,68
Mataura,74,NZ,1565571027,46.99,11.99,-46.19,168.86,71
Bluff,0,AU,1565571164,60.35,2.35,-23.58,149.07,40
Bredasdorp,17,ZA,1565571381,51.8,8.05,-34.53,20.04,76
Suntar,2,RU,1565571381,65.39,4.18,62.16,117.65,60
Ribeira Grande,46,PT,1565571138,70.97,8.01,38.52,-28.7,81
Jamestown,3,AU,1565571250,45.95,1.05,-33.21,138.6,72
Atuona,10,PF,1565571051,79.61,18.57,-9.8,-139.03,79
Kapaa,75,US,1565571225,87.8,6.93,22.08,-159.32,58
Bossier City,1,US,1565571382,96.8,9.17,32.52,-93.73,52
Coihaique,90,CL,1565571060,39.2,4.7,-45.58,-72.07,86
Haapiti,20,PF,1565571197,86,4.7,-17.57,-149.87,66
Geraldton,20,CA,1565571383,69.8,6.93,49.72,-86.95,40
Tiksi,21,RU,1565571160,58.73,3.96,71.64,128.87,60
Faanui,6,PF,1565571281,79.43,14.32,-16.48,-151.75,80
Carnarvon,23,ZA,1565571194,38.75,9.08,-30.97,22.13,88
Sistranda,75,NO,1565571349,60.01,5.82,63.73,8.83,93
Alofi,75,NU,1565570846,80.6,14.99,-19.06,-169.92,74
Severo-Kurilsk,28,RU,1565571282,49.37,13.15,50.68,156.12,95
Labuhan,68,ID,1565571383,77.81,1.61,-2.54,115.51,74
Rikitea,99,PF,1565571163,72.77,17.85,-23.12,-134.97,82
Albany,20,US,1565571084,73.4,9.17,42.65,-73.75,49
Kodiak,40,US,1565571437,81,6.93,39.95,-94.76,74
Barrow,11,AR,1565571437,47.75,6.67,-38.31,-60.23,57
Pevek,1,RU,1565571438,38.39,20.45,69.7,170.27,89
Viedma,75,AR,1565571081,42.53,30.18,-40.81,-62.99,89
Payyannur,75,IN,1565571438,75.2,2.24,12.1,75.2,100
Dingle,83,PH,1565571356,81.41,7.7,11,122.67,78
Juchitlan,100,MX,1565571438,68.81,4.41,20.08,-104.1,91
Port Alfred,67,ZA,1565571225,57.99,4,-33.59,26.89,76
Qaanaaq,82,GL,1565571167,44.15,1.16,77.48,-69.36,66
Vaini,75,IN,1565571439,71.6,9.17,15.34,74.49,94
Fare,25,PF,1565571416,79.43,17.31,-16.7,-151.02,80
Vadso,100,NO,1565571439,48.2,13.87,70.07,29.75,93
Castelldefels,75,ES,1565571440,80.01,4.7,41.29,1.98,74
Iqaluit,20,CA,1565571440,41,6.93,63.75,-68.52,86
Jaen,48,PE,1565571440,59.09,1.99,-5.71,-78.81,91
Saint-Georges,96,CA,1565571440,68,4,46.12,-70.67,71
Shagonar,91,RU,1565571441,53.15,2.04,51.54,92.92,70
Khatanga,0,RU,1565571441,68.45,6.2,71.98,102.47,49
Ponta do Sol,0,BR,1565571441,67.73,2.21,-20.63,-46,54
Busselton,0,AU,1565571225,57,20.83,-33.64,115.35,44
Ibra,100,OM,1565571441,90.05,2.68,22.69,58.55,38
Thompson,40,CA,1565571335,66.2,13.87,55.74,-97.86,45
Minab,40,IR,1565571349,91.4,4.7,27.15,57.07,84
Tuktoyaktuk,90,CA,1565571442,44.6,13.87,69.44,-133.03,93
Kaeo,25,NZ,1565571442,61,1.01,-35.1,173.78,100
Saint-Philippe,1,CA,1565571442,75.2,7.52,45.36,-73.48,64
Kirakira,97,SB,1565571082,83.75,3.11,-10.46,161.92,71
Vestmannaeyjar,36,IS,1565571434,46.31,26.51,63.44,-20.27,75
Owosso,40,US,1565571443,78.8,3.98,43,-84.18,64
Nago,0,IT,1565571443,80.6,2.24,45.88,10.89,83
Noshiro,75,JP,1565571443,80.6,3.36,40.21,140.05,83
Luderitz,0,NA,1565571024,55.4,13.87,-26.65,15.16,76
Castro,75,CL,1565571443,41,4.7,-42.48,-73.76,100
Los Llanos de Aridane,0,ES,1565571162,73.4,12.75,28.66,-17.92,73
Yellowknife,20,CA,1565571223,66.2,8.05,62.45,-114.38,52
Macia,0,MZ,1565571444,72.05,10.38,-25.03,33.09,44
Shimoda,75,JP,1565571444,82.4,9.17,34.7,138.93,100
Chuy,38,UY,1565571444,50.81,8.1,-33.69,-53.46,87
Saskylakh,0,RU,1565571445,66.29,9.86,71.97,114.09,50
Bambous Virieux,40,MU,1565571026,72,12.75,-20.34,57.76,73
Hofn,100,IS,1565571226,32.27,17.56,64.25,-15.21,79
East London,55,ZA,1565571445,52.25,5.48,-33.02,27.91,80
General Roca,0,AR,1565571497,51.8,18.66,-39.03,-67.58,57
Tasiilaq,0,GL,1565571350,39.2,6.93,65.61,-37.64,93
NEDJO,100,ET,1565571498,56.03,1.41,9.5,35.5,97
Caravelas,0,BR,1565571498,72.59,7.47,-17.73,-39.27,86
New Norfolk,75,AU,1565570945,52,20.8,-42.78,147.06,57
Ilovlya,0,RU,1565571498,55.4,6.71,49.31,43.98,76
Coquimbo,0,CL,1565571498,53.6,5.82,-29.95,-71.34,81
Maltahohe,0,NA,1565571499,38.93,2.89,-24.83,16.98,46
Mao,20,DO,1565571499,84.2,11.41,19.55,-71.08,66
Batagay-Alyta,0,RU,1565571499,63.05,6.6,67.8,130.41,43
Hobart,75,AU,1565570933,52,20.8,-42.88,147.33,57
Pelym,100,RU,1565571500,60.53,3.94,61.01,62,98
Narsaq,1,GL,1565571500,55.4,17.22,60.91,-46.05,35
Daru,100,PG,1565570905,79.19,8.55,-9.07,143.21,72
Airai,1,TL,1565571500,80.87,0.92,-8.93,125.41,38
Padang,97,ID,1565571500,81.23,11.86,-0.92,100.36,79
Tiarei,20,PF,1565571501,86,4.7,-17.53,-149.33,66
Puerto Ayora,0,EC,1565571053,71.6,17.22,-0.74,-90.35,73
Lebu,75,ET,1565571501,57.2,6.93,8.96,38.73,93
Roald,97,NO,1565571501,59,3.36,62.58,6.12,100
Abu Dhabi,0,AE,1565570769,91.4,3.36,24.47,54.37,75
Muros,20,ES,1565571501,61,11.32,42.77,-9.06,93
Sola,13,TZ,1565571502,67.01,11.25,-3.17,33.8,52
Hami,0,CN,1565570904,74.51,6.98,42.84,93.51,23
Margate,20,AU,1565571502,52,25.28,-43.03,147.26,53
Cabo San Lucas,20,MX,1565571396,90,6.93,22.89,-109.91,58
Kapit,100,MY,1565571502,77.45,1.61,2.02,112.94,80
Novobirilyussy,72,RU,1565571503,49.91,3.76,56.95,90.69,94
Kaitangata,47,NZ,1565571503,46.99,11.99,-46.28,169.85,76
Arraial do Cabo,0,BR,1565571268,71.15,10.33,-22.97,-42.02,93
Esperance,0,AU,1565571503,48.2,12.75,-33.86,121.89,93
Dikson,93,RU,1565571350,40.37,11.01,73.51,80.55,91
Port-Gentil,92,GA,1565571503,74.57,8.57,-0.72,8.78,78
Hay River,20,CA,1565571504,68,8.05,60.82,-115.79,49
Lagoa,0,PT,1565571504,68,13.87,37.14,-8.45,52
Chokurdakh,0,RU,1565571352,52.79,12.17,70.62,147.9,62
Nishiwaki,75,JP,1565571288,91.4,4.7,35.01,135,59
Clyde River,90,CA,1565571504,41,12.75,70.47,-68.59,100
Verkhoyansk,21,RU,1565571505,71.51,7.31,67.55,133.39,36
Berlevag,100,NO,1565571505,48.11,13.82,70.86,29.09,94
Cusuna,0,HN,1565571505,84.29,23.96,15.85,-85.23,78
Solnechnyy,84,RU,1565571505,68.09,2.39,50.72,136.64,72
Tobol,86,SE,1565571505,62.6,6.93,59.83,12.54,82
Mahebourg,40,MU,1565571288,72,12.75,-20.41,57.7,73
Meulaboh,100,ID,1565571414,81.95,8.7,4.14,96.13,73
Mehamn,75,NO,1565571110,48.2,2.24,71.03,27.85,93
Soyo,1,AO,1565571506,71.87,11.97,-6.13,12.37,82
Sidi Ali,56,DZ,1565571557,79.97,7.78,36.1,0.42,58
Butaritari,95,KI,1565571164,82.49,8.23,3.07,172.79,75
Kuala Selangor,75,MY,1565571558,82,3.36,3.34,101.25,78
Saint George,0,GR,1565570989,80.6,1.45,39.45,22.34,47
Rennes,0,FR,1565571558,57.2,4.7,48.11,-1.68,87
Bahia Blanca,0,AR,1565571558,51.71,10.38,-38.72,-62.27,41
Tsiroanomandidy,7,MG,1565571558,58.55,3.02,-18.77,46.05,80
Tual,93,ID,1565571558,76.91,21.52,-5.67,132.75,79
Kalmunai,93,LK,1565571559,76.37,2.68,7.42,81.82,70
Kenai,1,US,1565571081,78.8,8.05,60.55,-151.26,36
Vicente Guerrero,75,MX,1565571559,71.6,0.43,16.93,-96.7,68
Marathon,17,CA,1565571559,67.19,7.25,48.72,-86.38,50
Svetlogorsk,90,RU,1565571559,59,6.71,53.14,59.15,82
Anadyr,90,RU,1565571560,53.6,15.66,64.73,177.51,87
Jeremie,24,HT,1565571560,82.85,0.13,18.65,-74.12,73
Uruzgan,0,AF,1565571560,59.45,2.98,32.93,66.63,52
Venado,16,MX,1565571560,78.89,15.39,22.93,-101.09,33
Port Elizabeth,1,US,1565571561,77,5.35,39.31,-74.98,53
Codrington,0,AU,1565571561,61,13.87,-28.95,153.24,41
Tecoanapa,75,MX,1565571561,86,9.17,16.99,-99.26,74
Manta,0,RO,1565571561,69.53,2.33,45.1,24.1,63
Esil,84,KZ,1565571562,73.31,13.65,51.96,66.41,37
Half Moon Bay,1,US,1565571288,84.2,13.87,37.46,-122.43,72
Yuncheng,23,CN,1565571562,77.99,11.56,35.03,111,48
Tilichiki,100,RU,1565571562,56.03,4.38,60.47,166.1,86
Gizo,0,IL,1565571562,77,2.24,31.8,34.94,65
Bayog,55,PH,1565571562,76.73,4.9,7.85,123.04,77
Vao,32,EE,1565571021,57.11,9.42,59.1,26.19,96
Rovenki,61,RU,1565571563,59.09,3.47,49.91,38.89,77
Kavaratti,28,IN,1565571425,83.03,20,10.57,72.64,77
Pisco,8,PE,1565571025,61,10.29,-13.71,-76.2,82
Lata,42,IN,1565571226,40.73,1.41,30.78,78.62,92
Muroto,75,JP,1565571563,87.8,3.36,33.37,134.14,62
Karratha,72,AU,1565571424,69.53,13.4,-20.74,116.85,25
Sao Filipe,0,CV,1565571564,76.55,16.64,14.9,-24.5,82
Ilulissat,40,GL,1565571281,55.4,9.17,69.22,-51.1,30
Tabou,83,CI,1565571564,73.67,3.27,4.42,-7.36,78
Mackenzie,20,CA,1565571564,73.4,8.05,55.34,-123.09,33
Okhotsk,100,RU,1565571564,55.31,2.39,59.36,143.24,89
Katobu,85,ID,1565571565,79.43,8.25,-4.94,122.53,73
Ewo,100,CG,1565571565,80.69,8.86,-0.88,14.81,55
Makakilo City,75,US,1565571347,87.8,16.11,21.35,-158.09,66
Nuevitas,40,CU,1565571565,77,2.24,21.55,-77.27,88
Masingbi,89,SL,1565571617,68.45,1.95,8.64,-11.47,99
Samarai,99,PG,1565571081,73.31,8.05,-10.62,150.67,94
Lincoln,33,GB,1565571422,54,8.05,53.23,-0.54,81
Emerald,0,AU,1565571618,63,13.87,-23.53,148.16,45
Rock Sound,35,BS,1565571618,85.55,6.26,24.9,-76.2,66
Mount Isa,0,AU,1565571145,60.8,16.11,-20.73,139.49,36
Rincon,40,PA,1565571618,82.4,8.05,8.46,-82.28,88
Moroni,0,GR,1565571618,79,5.82,35.09,24.92,73
Acapulco,75,MX,1565571619,86,9.17,16.86,-99.88,74
Bambanglipuro,4,ID,1565571284,73.49,5.91,-7.95,110.28,85
Komsomolskiy,99,RU,1565571146,33.35,10.13,67.55,63.78,91
Ximei,90,TW,1565571619,91,12.75,23.74,120.51,100
Yulara,0,AU,1565571619,55.4,12.75,-25.24,130.99,50
Birao,98,CF,1565571619,71.15,7.11,10.3,22.78,97
Katsuura,75,JP,1565571620,88,4.7,33.93,134.5,74
Taltal,0,CL,1565571620,53.51,4.94,-25.41,-70.49,67
Nanortalik,8,GL,1565571079,47.39,9.69,60.14,-45.24,67
Bandar,100,BD,1565571620,80.51,20.92,22.29,91.78,92
Wanning,40,AT,1565571621,71.01,10.29,48.64,13.53,73
Rome,0,IT,1565571613,82.99,2.24,41.89,12.48,57
Cayenne,0,GF,1565571604,77,3.76,4.94,-52.33,88
Charlottetown,75,CA,1565571439,63,6.93,46.23,-63.13,93
Lompoc,1,US,1565571621,78.01,11.41,34.64,-120.46,77
Cockburn Town,5,TC,1565571228,83.03,19.48,21.46,-71.14,79
Adiake,20,CI,1565571621,73.4,3.36,5.29,-3.3,100
San Patricio,60,PY,1565571351,61.07,2.84,-26.98,-56.83,88
Manoel Urbano,6,BR,1565571622,77.99,0.56,-8.84,-69.26,50
Manokwari,100,ID,1565571622,78.35,4.83,-0.87,134.08,76
Cheremukhovo,42,RU,1565571622,44.51,7.58,56.23,46.23,92
Kuusamo,0,FI,1565571436,51.8,6.93,65.96,29.19,76
Uyo,100,NG,1565571623,73.85,4.61,5.03,7.92,94
Talara,0,PE,1565571228,62.33,22.44,-4.58,-81.27,88
Escanaba,90,US,1565571623,73.4,4.7,45.75,-87.06,94
Puerto Escondido,75,MX,1565571080,86,8.05,15.86,-97.07,74
Leningradskiy,99,RU,1565571423,40.01,17.98,69.38,178.42,93
Te Anau,69,NZ,1565571623,39.11,3.51,-45.41,167.72,92
Sioux Lookout,20,CA,1565571623,69.8,8.05,50.1,-91.92,49
Tiebissou,30,CI,1565571624,71.01,3.11,7.16,-5.23,100
Gigmoto,100,PH,1565571624,82.85,11.48,13.78,124.39,78
Klyuchi,0,RU,1565571624,62.33,6.46,52.25,79.17,50
Kuldiga,0,LV,1565571624,57.2,4.7,56.97,21.96,100
Forio,0,IT,1565571625,86,2.24,40.73,13.86,69
Bayir,0,TR,1565571625,68,0.65,37.27,28.22,82
Kaili,46,ID,1565571625,66.47,1.72,-3.46,120.21,81
Kamenka,1,MD,1565571625,59,2.98,48.03,28.7,93
Marawi,44,PH,1565571625,84,3,8,124.29,69
Provideniya,90,RU,1565571677,55.4,15.66,64.42,-173.23,93
Mineiros,0,BR,1565571677,72.77,3.74,-17.57,-52.55,43
Norman Wells,75,CA,1565571678,55.4,2.24,65.28,-126.83,62
Numan,100,NG,1565571678,73.49,3.78,9.46,12.04,93
Patan,75,NP,1565571678,73.4,3.36,27.67,85.33,94
Jinotega,19,NI,1565571678,77.27,6.58,13.09,-86,70
Miramar,75,CR,1565571487,75.2,5.82,10.09,-84.73,94
Tura,100,RU,1565571679,55.31,4.36,64.27,100.22,62
Tibati,100,CM,1565571679,65.57,3.13,6.47,12.63,97
Chauk,100,MM,1565571679,74.57,11.34,20.89,94.82,96
Ancud,75,CL,1565571679,41,4.7,-41.87,-73.83,100
Yar-Sale,99,RU,1565571679,48.29,11.7,66.83,70.83,68
Awjilah,0,LY,1565571086,74.57,11.61,29.14,21.3,77
Kichera,100,RU,1565571680,46.13,4,55.93,110.1,96
Matata,91,NZ,1565571680,60.01,8.99,-37.89,176.76,67
Mlonggo,20,ID,1565571680,78.8,8.05,-6.53,110.7,65
Cabrero,23,CL,1565571680,48.2,4.7,-37.04,-72.4,93
Udachnyy,75,RU,1565571681,60.8,4.47,66.42,112.4,59
Denpasar,20,ID,1565571569,80.6,9.17,-8.65,115.22,83
Upernavik,9,GL,1565571681,45.41,8.28,72.79,-56.15,64
Kissidougou,100,GN,1565571681,68.81,4.9,9.19,-10.1,94
Klaksvik,62,FO,1565571681,46.4,1.12,62.23,-6.59,87
Kuytun,0,RU,1565571682,52.43,6.82,54.34,101.51,85
Edd,100,ER,1565571682,87.35,3.11,13.93,41.69,55
Longyearbyen,75,NO,1565571348,42.8,4.7,78.22,15.63,70
Ewa Beach,75,US,1565571682,87.8,16.11,21.32,-158.01,66
Takoradi,28,GH,1565571682,71.69,5.46,4.89,-1.75,91
Bathsheba,40,BB,1565571682,80.6,19.46,13.22,-59.52,83
Faya,40,SA,1565571144,68,6.93,18.39,42.45,88
Guerrero,0,AR,1565571683,53.6,4.7,-24.19,-65.45,58
Emba,0,CY,1565571683,75.2,8.05,34.81,32.42,73
Cam Ranh,20,VN,1565571683,87.8,13.87,11.92,109.15,62
Kavieng,99,PG,1565571684,80.51,2.33,-2.57,150.8,74
Leh,0,IN,1565571684,46.85,2.26,34.16,77.58,68
Lloydminster,90,CA,1565571684,59,4.7,53.28,-110.01,87
Cochrane,68,CL,1565571684,29.57,3.18,-47.25,-72.57,96
Srednekolymsk,0,RU,1565571684,65.57,12.21,67.46,153.71,51
Nikolskoye,90,RU,1565571343,60.8,2.24,59.7,30.79,93
Belmonte,1,PT,1565571685,63,1.01,40.36,-7.35,91
Satun,40,TH,1565571685,78.8,2.24,6.62,100.07,100
Sandwick,96,GB,1565571685,57,3.96,54.57,-2.89,100
Nelson Bay,75,AU,1565571685,60.01,14.99,-32.72,152.14,47
Wilmington,1,US,1565571448,77,3.36,39.75,-75.55,53
